Max-0-24-0-7.92
Max-0-22-0-8.1
Max-0-30-0-8.78
Max-0-30-0-9.34
Mr. XXX-0-31-0-9.94
Mr. XXX-0-36-0-10.56
Mad Max-0-35-0-11.27
Mr. XXX-0-35-0-11.43
Max-0-36-0-11.68
Mr. XXX-0-38-0-12.88
